SEP=,
NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"UDrive-CST-9_OsDisk_1_5bd017b4ccb746daa2bc2fa06821e414","Disk","udrive-azurevirtualdesktop-cst","UAE North","UDriveRentACar-CSP"
"UDrive-CST-Fin-Mgmt-Ops-GoldenImage (UDriveComputeGallery/UDrive-CST-Fin-Mgmt-Ops-GoldenImage)","VM image definition","udrive-shared-image-gallery-rg","UAE North","UDriveRentACar-CSP"
"UDrive-CST-Workspace","Workspace","udrive-azurevirtualdesktop-cst","East US","UDriveRentACar-CSP"
"UDrive-Fin-0","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-0-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-0_OsDisk_1_5591b6a61cd3483c8fd9d4d9257f7b30","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-1","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-1-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-1_OsDisk_1_66032050f5ec4c29a8816cdfbc56f327","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-2","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-2-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-2_OsDisk_1_88aeff56e68847f1aca3e570568cb97a","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-3","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-3-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-3_OsDisk_1_09317f5ad86b4dc4bb0d8b911fc978c3","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-4","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-4-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Fin-4_OsDisk_1_337a8e42c6e24867aab7c60f1dd677c4","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Finance-Workspace","Workspace","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-CST","Host pool","udrive-azurevirtualdesktop-cst","East US","UDriveRentACar-CSP"
"UDrive-HostPool-CST-DAG","Application group","udrive-azurevirtualdesktop-cst","East US","UDriveRentACar-CSP"
"UDrive-HostPool-Finance","Host pool","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-Finance-DAG","Application group","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-HR","Host pool","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-HR-DAG","Application group","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-Ops","Host pool","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-Ops-DAG","Application group","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-Tech","Host pool","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HostPool-Tech-DAG","Application group","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-HR-0","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-HR-0-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-HR-0_disk1_62280f5d756c479bacadd0b12cb5c3df","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-HR-Workspace","Workspace","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-Ops-0","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-0-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-0_disk1_55e7527f5134492987215cb70c556947","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-1","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-1-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-1_disk1_3bec1f79371b4803b8f9f19809bb802c","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-2","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-2-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-2_disk1_3170e35c4a704f45aca9cca670772118","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Ops-Workspace","Workspace","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-Staging-Vnet","Virtual network","udrive-staging-vnet","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-0","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-0-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-0_disk1_142225903a0a43a4a3d4d25fe2d0f8e1","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-1","Virtual machine","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-1-nic","Network interface","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-1_disk1_313c49ac08de4ca0a0ddbdc46a00fe59","Disk","udrive-azurevirtualdesktop","UAE North","UDriveRentACar-CSP"
"UDrive-Tech-Workspace","Workspace","udrive-azurevirtualdesktop","East US","UDriveRentACar-CSP"
"UDrive-TechTeam-Goldenimage (UDriveComputeGallery/UDrive-TechTeam-Goldenimage)","VM image definition","udrive-shared-image-gallery-rg","UAE North","UDriveRentACar-CSP"
"Udrive-VirtualNetwork","Virtual network","udrive-network-rg","UAE North","UDriveRentACar-CSP"
"Udrive-VPN","Virtual network gateway","udrive-network-rg","UAE North","UDriveRentACar-CSP"
"Udrive.ae","Azure AD Domain Services","managed-activedirectory-rg","UAE North","UDriveRentACar-CSP"
"UDrive_ProdVPN_PIP","Public IP address","udrive-network-rg","UAE North","UDriveRentACar-CSP"
"udriveapiplan","App Service plan","udriveapps-prod","West Europe","UDriveRentACar-CSP"
"UDriveComputeGallery","Azure compute gallery","udrive-shared-image-gallery-rg","UAE North","UDriveRentACar-CSP"
"UdriveLiveSync","App Service plan","udriveapps-prod","West Europe","UDriveRentACar-CSP"
"UdriveTest","App Service","udriveapps-prod","West Europe","UDriveRentACar-CSP"
"UdriveUAEOffice-OnPremToAzure","Connection","udrive-network-rg","UAE North","UDriveRentACar-CSP"
"UdriveUAEOffice-OnPremToAzure-LNG","Local network gateway","udrive-network-rg","UAE North","UDriveRentACar-CSP"
